"num","name","round","level","event"
"5"," SCHLEPPS Holger",1,"final","women's 3m springboard"
"6"," DAW Yehia Zakaria Yehia",1,"final","women's 3m springboard"
"7"," ZAMPIERI Marco",1,"final","women's 3m springboard"
"1"," REIS Violeta",2,"final","women's 3m springboard"
"2"," AXTELIUS Peter",2,"final","women's 3m springboard"
"3"," WRIGHT Lisa",2,"final","women's 3m springboard"
"4"," PRANARTA Pranarta",2,"final","women's 3m springboard"
"5"," SCHLEPPS Holger",2,"final","women's 3m springboard"
"6"," DAW Yehia Zakaria Yehia",2,"final","women's 3m springboard"
"7"," ZAMPIERI Marco",2,"final","women's 3m springboard"
"1"," REIS Violeta",3,"final","women's 3m springboard"
"2"," AXTELIUS Peter",3,"final","women's 3m springboard"
"3"," WRIGHT Lisa",3,"final","women's 3m springboard"
"4"," PRANARTA Pranarta",3,"final","women's 3m springboard"
"5"," SCHLEPPS Holger",3,"final","women's 3m springboard"
"6"," DAW Yehia Zakaria Yehia",3,"final","women's 3m springboard"
"7"," ZAMPIERI Marco",3,"final","women's 3m springboard"
"1"," REIS Violeta",4,"final","women's 3m springboard"
"2"," AXTELIUS Peter",4,"final","women's 3m springboard"
"3"," WRIGHT Lisa",4,"final","women's 3m springboard"
"4"," PRANARTA Pranarta",4,"final","women's 3m springboard"
"5"," SCHLEPPS Holger",4,"final","women's 3m springboard"
"6"," DAW Yehia Zakaria Yehia",4,"final","women's 3m springboard"
"7"," ZAMPIERI Marco",4,"final","women's 3m springboard"
"1"," REIS Violeta",5,"final","women's 3m springboard"
"2"," AXTELIUS Peter",5,"final","women's 3m springboard"
"3"," WRIGHT Lisa",5,"final","women's 3m springboard"
"4"," PRANARTA Pranarta",5,"final","women's 3m springboard"
"5"," SCHLEPPS Holger",5,"final","women's 3m springboard"
"6"," DAW Yehia Zakaria Yehia",5,"final","women's 3m springboard"
"7"," ZAMPIERI Marco",5,"final","women's 3m springboard"
"1"," REIS Violeta",6,"final","women's 3m springboard"
