"Rank","Name","NAT","Dive No.","DD","J1","J2","J3","J4","J5","J6","J7","Dive Points","Dive Rank","Total Points","Overall Rank","Points Behind","level","event"
"19","SUYAMA Haruki","JPN","5337D","3.5","8.0","7.5","7.5","7.0","7.0","7.5","6.5","77.00","6","202.00","12","36.80","preliminary"," men's 3m springboard"
"19","SUYAMA Haruki","JPN","405B","3.0","7.0","6.0","6.5","7.0","7.0","7.0","6.5","61.50","=24","263.50","14","57.20","preliminary"," men's 3m springboard"
"19","SUYAMA Haruki","JPN","107B","3.1","6.5","6.5","5.5","7.0","6.0","6.5","6.5","60.45","24","323.95","19","87.95","preliminary"," men's 3m springboard"
"19","SUYAMA Haruki","JPN","5154B","3.4","6.5","6.0","6.5","6.0","5.5","6.0","6.0","61.20","=35","385.15","19","102.35","preliminary"," men's 3m springboard"
"20","HART Alex","AUT","405B","3.0","7.5","7.5","6.5","7.5","7.0","6.5","6.5","63.00","=24","63.00","=24","11.80","preliminary"," men's 3m springboard"
"20","HART Alex","AUT","5152B","3.0","6.5","7.0","6.5","6.5","6.5","7.0","7.0","60.00","=29","123.00","25","28.30","preliminary"," men's 3m springboard"
"20","HART Alex","AUT","107B","3.1","7.5","7.5","7.0","7.0","7.0","8.0","7.0","66.65","19","189.65","22","49.15","preliminary"," men's 3m springboard"
"20","HART Alex","AUT","205B","3.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","63.00","=19","252.65","22","68.05","preliminary"," men's 3m springboard"
"20","HART Alex","AUT","305B","3.0","6.5","5.5","5.0","6.0","6.0","6.5","6.0","54.00","=31","306.65","23","105.25","preliminary"," men's 3m springboard"
"20","HART Alex","AUT","5154B","3.4","7.0","7.0","7.0","7.0","6.5","7.5","7.0","71.40","=9","378.05","20","109.45","preliminary"," men's 3m springboard"
"21","SUCKOW Jonathan","SUI","405B","3.0","7.5","7.5","7.0","7.5","7.0","7.0","7.0","64.50","=21","64.50","=21","10.30","preliminary"," men's 3m springboard"
"21","SUCKOW Jonathan","SUI","107B","3.1","7.5","8.0","7.5","7.5","8.0","8.0","6.5","71.30","=10","135.80","11","15.50","preliminary"," men's 3m springboard"
"21","SUCKOW Jonathan","SUI","205B","3.0","6.5","5.5","6.5","6.0","6.0","5.5","5.5","52.50","39","188.30","23","50.50","preliminary"," men's 3m springboard"
"21","SUCKOW Jonathan","SUI","305B","3.0","8.0","7.5","7.5","8.0","8.0","8.0","8.0","72.00","10","260.30","15","60.40","preliminary"," men's 3m springboard"
"21","SUCKOW Jonathan","SUI","5337D","3.5","4.0","4.5","5.0","4.5","4.5","5.0","5.5","49.00","44","309.30","22","102.60","preliminary"," men's 3m springboard"
"21","SUCKOW Jonathan","SUI","5154B","3.4","6.5","6.0","7.0","5.0","5.5","6.5","6.5","64.60","27","373.90","21","113.60","preliminary"," men's 3m springboard"
"22","TOCCI Giovanni","ITA","405B","3.0","8.0","8.0","8.0","8.0","8.5","7.0","8.0","72.00","4","72.00","4","2.80","preliminary"," men's 3m springboard"
"22","TOCCI Giovanni","ITA","107B","3.1","7.5","7.0","7.5","7.5","7.5","8.0","8.0","69.75","=12","141.75","5","9.55","preliminary"," men's 3m springboard"
"22","TOCCI Giovanni","ITA","5154B","3.4","7.5","7.0","7.5","7.0","7.0","7.0","6.5","71.40","10","213.15","6","25.65","preliminary"," men's 3m springboard"
"22","TOCCI Giovanni","ITA","205B","3.0","6.5","6.5","7.0","7.5","7.5","7.5","8.0","66.00","=17","279.15","10","41.55","preliminary"," men's 3m springboard"
"22","TOCCI Giovanni","ITA","305B","3.0","5.5","5.5","6.0","6.0","6.0","6.0","6.0","54.00","=31","333.15","15","78.75","preliminary"," men's 3m springboard"
"22","TOCCI Giovanni","ITA","407C","3.4","4.0","3.5","3.5","4.0","3.5","3.5","4.0","37.40","52","370.55","22","116.95","preliminary"," men's 3m springboard"
"23","PUTEH Muhammad Syafiq Bin","MAS","405B","3.0","7.0","7.5","7.5","7.5","7.5","7.5","8.0","67.50","=11","67.50","=11","7.30","preliminary"," men's 3m springboard"
"23","PUTEH Muhammad Syafiq Bin","MAS","107B","3.1","7.5","8.5","7.5","7.5","6.0","7.5","7.0","69.75","=12","137.25","10","14.05","preliminary"," men's 3m springboard"
"23","PUTEH Muhammad Syafiq Bin","MAS","5154B","3.4","6.0","6.0","6.5","5.5","6.5","6.5","6.5","64.60","23","201.85","13","36.95","preliminary"," men's 3m springboard"
"23","PUTEH Muhammad Syafiq Bin","MAS","205B","3.0","6.0","6.5","6.0","6.5","5.5","6.5","6.5","57.00","=30","258.85","17","61.85","preliminary"," men's 3m springboard"
"23","PUTEH Muhammad Syafiq Bin","MAS","307C","3.5","4.0","3.0","3.5","3.5","3.0","4.0","4.0","38.50","51","297.35","25","114.55","preliminary"," men's 3m springboard"
"23","PUTEH Muhammad Syafiq Bin","MAS","5337D","3.5","6.5","6.5","7.5","6.0","7.0","7.0","6.5","70.00","=17","367.35","23","120.15","preliminary"," men's 3m springboard"
"24","OCAMPO MARROQUIN Jahir","MEX","107B","3.1","6.5","7.0","7.5","7.0","7.5","7.0","7.0","65.10","=17","65.10","=17","9.70","preliminary"," men's 3m springboard"
