"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","year","competition"
"women's 10m platform","semifinal b",2,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur","2015","World_Series_Kazan"
"women's 10m platform","semifinal b",3,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur","2015","World_Series_Kazan"
"women's 10m platform","semifinal b",4,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur","2015","World_Series_Kazan"
"women's 10m platform","semifinal b",5,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur","2015","World_Series_Kazan"
" men's 3m springboard","final",1,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr","2015","World_Series_Kazan"
" men's 3m springboard","final",2,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr","2015","World_Series_Kazan"
" men's 3m springboard","final",3,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr","2015","World_Series_Kazan"
" men's 3m springboard","final",4,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr","2015","World_Series_Kazan"
" men's 3m springboard","final",5,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr","2015","World_Series_Kazan"
" men's 3m springboard","final",6,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr","2015","World_Series_Kazan"
"women's 3m springboard","final",1,"NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","BEKETOV Andrey","VYAS Mayur","LIKACHEVA Yulia","2015","World_Series_Kazan"
"women's 3m springboard","final",2,"NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","BEKETOV Andrey","VYAS Mayur","LIKACHEVA Yulia","2015","World_Series_Kazan"
"women's 3m springboard","final",3,"NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","BEKETOV Andrey","VYAS Mayur","LIKACHEVA Yulia","2015","World_Series_Kazan"
"women's 3m springboard","final",4,"NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","BEKETOV Andrey","VYAS Mayur","LIKACHEVA Yulia","2015","World_Series_Kazan"
"women's 3m springboard","final",5,"NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","BEKETOV Andrey","VYAS Mayur","LIKACHEVA Yulia","2015","World_Series_Kazan"
" men's 10m platform","final",1,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel","2015","World_Series_Kazan"
" men's 10m platform","final",2,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel","2015","World_Series_Kazan"
" men's 10m platform","final",3,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel","2015","World_Series_Kazan"
" men's 10m platform","final",4,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel","2015","World_Series_Kazan"
" men's 10m platform","final",5,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel","2015","World_Series_Kazan"
" men's 10m platform","final",6,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel","2015","World_Series_Kazan"
"women's 10m platform","final",1,"KELEMEN Ildiko","VYAS Mayur","PEREZ CANASVERAS Angel Luis","BOUSSARD Michel","BEKETOV Andrey","NARYSHKIN Vladzimir","TELLEFSEN Arne","2015","World_Series_Kazan"
"women's 10m platform","final",2,"KELEMEN Ildiko","VYAS Mayur","PEREZ CANASVERAS Angel Luis","BOUSSARD Michel","BEKETOV Andrey","NARYSHKIN Vladzimir","TELLEFSEN Arne","2015","World_Series_Kazan"
"women's 10m platform","final",3,"KELEMEN Ildiko","VYAS Mayur","PEREZ CANASVERAS Angel Luis","BOUSSARD Michel","BEKETOV Andrey","NARYSHKIN Vladzimir","TELLEFSEN Arne","2015","World_Series_Kazan"
"women's 10m platform","final",4,"KELEMEN Ildiko","VYAS Mayur","PEREZ CANASVERAS Angel Luis","BOUSSARD Michel","BEKETOV Andrey","NARYSHKIN Vladzimir","TELLEFSEN Arne","2015","World_Series_Kazan"
"women's 10m platform","final",5,"KELEMEN Ildiko","VYAS Mayur","PEREZ CANASVERAS Angel Luis","BOUSSARD Michel","BEKETOV Andrey","NARYSHKIN Vladzimir","TELLEFSEN Arne","2015","World_Series_Kazan"
" men's 3m springboard","semifinal a",1,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
" men's 3m springboard","semifinal a",2,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
" men's 3m springboard","semifinal a",3,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
" men's 3m springboard","semifinal a",4,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
" men's 3m springboard","semifinal a",5,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
" men's 3m springboard","semifinal a",6,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
"women's 3m springboard","semifinal a",1,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter","2015","World_Series_London"
"women's 3m springboard","semifinal a",2,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter","2015","World_Series_London"
"women's 3m springboard","semifinal a",3,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter","2015","World_Series_London"
"women's 3m springboard","semifinal a",4,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter","2015","World_Series_London"
"women's 3m springboard","semifinal a",5,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal a",1,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal a",2,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal a",3,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal a",4,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal a",5,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal a",6,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
"women's 10m platform","semifinal a",1,"OGDEN Jane","PIKTURNIENE Ale","GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","BEKETOV Andrei","VD VOORT Ronald","2015","World_Series_London"
"women's 10m platform","semifinal a",2,"OGDEN Jane","PIKTURNIENE Ale","GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","BEKETOV Andrei","VD VOORT Ronald","2015","World_Series_London"
"women's 10m platform","semifinal a",3,"OGDEN Jane","PIKTURNIENE Ale","GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","BEKETOV Andrei","VD VOORT Ronald","2015","World_Series_London"
"women's 10m platform","semifinal a",4,"OGDEN Jane","PIKTURNIENE Ale","GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","BEKETOV Andrei","VD VOORT Ronald","2015","World_Series_London"
"women's 10m platform","semifinal a",5,"OGDEN Jane","PIKTURNIENE Ale","GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","BEKETOV Andrei","VD VOORT Ronald","2015","World_Series_London"
" men's 3m springboard","semifinal b",1,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
" men's 3m springboard","semifinal b",2,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
" men's 3m springboard","semifinal b",3,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
" men's 3m springboard","semifinal b",4,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
" men's 3m springboard","semifinal b",5,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
" men's 3m springboard","semifinal b",6,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei","2015","World_Series_London"
"women's 3m springboard","semifinal b",1,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter","2015","World_Series_London"
"women's 3m springboard","semifinal b",2,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter","2015","World_Series_London"
"women's 3m springboard","semifinal b",3,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter","2015","World_Series_London"
"women's 3m springboard","semifinal b",4,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter","2015","World_Series_London"
"women's 3m springboard","semifinal b",5,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal b",1,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal b",2,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal b",3,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal b",4,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
" men's 10m platform","semifinal b",5,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter","2015","World_Series_London"
